lsoa_code,borough,imd_quintile,total_images,year_min,year_max,images_2020_plus
E01000882,Camden,1,100,2016,2025,88
E01001646,Greenwich,3,100,2020,2021,100
E01001701,Greenwich,4,100,2021,2025,100
E01001718,Hackney,2,100,2022,2025,100
E01001944,Hammersmith and Fulham,5,100,2025,2025,100
E01002714,Islington,1,100,2017,2025,78
E01002729,Islington,4,100,2025,2025,100
E01002732,Islington,5,100,2024,2025,100
E01002794,Islington,3,100,2023,2025,100
E01002906,Kensington and Chelsea,4,100,2015,2024,15
E01003066,Lambeth,5,100,2015,2017,0
E01003134,Lambeth,2,100,2025,2025,100
E01003182,Lambeth,3,100,2015,2019,0
E01003262,Lewisham,2,100,2014,2025,56
E01004073,Southwark,1,100,2017,2022,25
E01004234,Tower Hamlets,3,100,2021,2025,100
E01004519,Wandsworth,2,100,2023,2023,100
E01004553,Wandsworth,1,100,2017,2025,90
E01004720,Westminster,4,100,2015,2025,43
E01004757,Westminster,5,100,2025,2025,100
