lsoa_code,building_density
E01000907,46.02076693
E01000908,40.2858414
E01000909,28.96189853
E01000912,8.351493221
E01000913,11.85260774
E01000893,5.635553087
E01000894,17.9116789
E01000895,40.44389597
E01000896,29.1373249
E01000899,6.640598709
E01000910,26.26990833
E01000911,29.55472786
E01000921,39.36720234
E01000923,34.71993514
E01000928,35.04092383
E01000878,26.52932866
E01000879,38.9847461
E01000880,22.18756591
E01000884,22.79416568
E01000885,18.83520851
E01000871,51.3388488
E01000872,24.44398678
E01000873,29.54918283
E01000874,33.96338528
E01000877,32.74976009
E01000886,36.95308618
E01000887,36.59372127
E01000888,35.65211415
E01000892,28.16431464
E01000903,29.51391227
E01000889,23.87252936
E01000890,19.68999936
E01000891,29.63669052
E01000901,20.17647615
E01000922,38.55761369
E01000927,36.17884959
E01000881,27.40276038
E01000882,28.15753302
E01000883,31.21286267
E01000897,28.24201053
E01000898,47.83213115
E01000866,29.5385686
E01000870,21.8188144
E01000924,28.30730575
E01000925,25.02492791
E01000926,36.95231963
E01000969,23.74732953
E01000970,36.39498939
E01000971,35.89664236
E01000972,27.61946107
E01000973,22.43792615
E01000842,28.77961906
E01000844,31.4810302
E01000848,29.56012242
E01000849,34.08381417
E01000900,32.45576218
E01000902,27.98422706
E01000904,35.19974549
E01000905,37.26226083
E01000906,18.28039224
E01000875,20.22608893
E01000876,25.11464959
E01000931,30.96432878
E01000932,40.61857788
E01000974,27.05847569
E01000843,28.13792039
E01000845,25.75675333
E01000846,20.17686232
E01000847,21.7722767
E01000867,28.12682828
E01000868,29.77295406
E01000869,27.75052309
E01000962,28.39492836
E01000964,22.04090538
E01000965,25.5895738
E01000966,27.16790689
E01000968,28.88290125
E01000960,30.88061224
E01000961,20.02469353
E01000963,29.35507896
E01000967,13.90404006
E01000857,28.5377997
E01000858,25.20910024
E01000859,42.92363344
E01000860,10.87831197
E01000862,31.95248997
E01000856,30.61252481
E01000861,34.71400786
E01000957,20.83299169
E01000958,39.72105903
E01000959,31.70044797
E01000929,23.90990992
E01000930,30.5003812
E01000933,36.34953611
E01000934,26.19904366
E01000935,20.14873873
E01000863,49.58004043
E01000946,16.36697744
E01000947,32.74820679
E01000948,19.15901345
E01000952,43.06476263
E01000954,17.03179701
E01000955,44.2943298
E01000956,35.03427395
E01000944,27.94779025
E01000949,29.45160012
E01000951,22.10521016
E01000850,53.69140038
E01000851,45.98080549
E01000915,53.77105112
E01000916,56.69306815
E01000917,52.35141441
E01000920,45.90007619
E01000855,44.30970721
E01000914,39.41650029
E01000918,54.54274466
E01000919,46.84136475
E01000938,42.24990454
E01000939,38.98035275
E01000942,43.81645344
E01000941,32.9963155
E01000943,39.89904445
E01000937,19.21680811
E01000853,50.38011034
E01001690,18.25207031
E01001692,26.1580115
E01001693,17.40961372
E01001694,9.984912352
E01001687,16.17654723
E01001688,22.09297748
E01033739,13.08109444
E01033740,13.67739739
E01033741,20.18204364
E01033743,4.965865637
E01033745,25.12791736
E01001575,15.381308
E01001576,18.02330576
E01001577,18.29546039
E01001578,23.78538374
E01001579,34.39322258
E01001705,26.18143832
E01001708,21.90150024
E01001710,19.08665081
E01001672,14.03851182
E01001673,29.41720441
E01001674,21.00783464
E01001675,28.57649552
E01001677,22.81238586
E01001631,21.5771089
E01001632,41.26625456
E01001635,15.34596009
E01001636,43.24595334
E01033742,18.46131254
E01033744,18.73638519
E01001571,24.07644361
E01001572,21.53047576
E01001573,20.82999199
E01001574,9.1906277
E01001629,25.60525259
E01001633,30.4618878
E01001634,20.85761321
E01001637,18.40654638
E01001695,25.33881118
E01001696,29.36997045
E01001697,28.57363571
E01001700,30.15009014
E01001703,22.76758019
E01001704,26.36428381
E01001588,18.81525657
E01001589,23.43967609
E01001591,19.00173318
E01001595,13.27220815
E01001590,25.12939884
E01001592,22.50750535
E01001593,26.42722304
E01001594,21.52356731
E01001698,26.11311088
E01001699,10.78802296
E01001701,15.79957873
E01001702,29.16652978
E01001581,22.27397363
E01001585,21.41190473
E01001586,16.0323516
E01001587,25.4824266
E01001678,22.39179161
E01001683,30.47732274
E01001684,2.904782399
E01001685,22.22856886
E01001646,20.38834747
E01001650,19.68836951
E01001651,9.595323266
E01001652,23.28335569
E01001679,32.72495678
E01001680,6.757509493
E01001681,23.8870612
E01001682,9.782460921
E01001686,22.26094921
E01001580,16.92751116
