lsoa_code,n_oas,population_density,population_density_median,population_density_min,population_density_max,population_density_sd,data_source,density_category
E01000842,0,NA,NA,NA,NA,NA,imputed,Very High
E01000843,0,NA,NA,NA,NA,NA,imputed,Very High
E01000844,0,NA,NA,NA,NA,NA,imputed,Very High
E01000845,0,NA,NA,NA,NA,NA,imputed,Very High
E01000846,0,NA,NA,NA,NA,NA,imputed,Very High
E01000847,0,NA,NA,NA,NA,NA,imputed,Very High
E01000848,0,NA,NA,NA,NA,NA,imputed,Very High
E01000849,0,NA,NA,NA,NA,NA,imputed,Very High
E01000850,0,NA,NA,NA,NA,NA,imputed,Very High
E01000851,0,NA,NA,NA,NA,NA,imputed,Very High
E01000852,0,NA,NA,NA,NA,NA,imputed,Very High
E01000853,0,NA,NA,NA,NA,NA,imputed,Very High
E01000854,0,NA,NA,NA,NA,NA,imputed,Very High
E01000855,0,NA,NA,NA,NA,NA,imputed,Very High
E01000856,0,NA,NA,NA,NA,NA,imputed,Very High
E01000857,0,NA,NA,NA,NA,NA,imputed,Very High
E01000858,0,NA,NA,NA,NA,NA,imputed,Very High
E01000859,0,NA,NA,NA,NA,NA,imputed,Very High
E01000860,0,NA,NA,NA,NA,NA,imputed,Very High
E01000861,0,NA,NA,NA,NA,NA,imputed,Very High
E01000862,0,NA,NA,NA,NA,NA,imputed,Very High
E01000863,0,NA,NA,NA,NA,NA,imputed,Very High
E01000864,0,NA,NA,NA,NA,NA,imputed,Very High
E01000865,0,NA,NA,NA,NA,NA,imputed,Very High
E01000866,0,NA,NA,NA,NA,NA,imputed,Very High
E01000867,0,NA,NA,NA,NA,NA,imputed,Very High
E01000868,0,NA,NA,NA,NA,NA,imputed,Very High
E01000869,0,NA,NA,NA,NA,NA,imputed,Very High
E01000870,0,NA,NA,NA,NA,NA,imputed,Very High
E01000871,0,NA,NA,NA,NA,NA,imputed,Very High
E01000872,0,NA,NA,NA,NA,NA,imputed,Very High
E01000873,0,NA,NA,NA,NA,NA,imputed,Very High
E01000874,0,NA,NA,NA,NA,NA,imputed,Very High
E01000875,0,NA,NA,NA,NA,NA,imputed,Very High
E01000876,0,NA,NA,NA,NA,NA,imputed,Very High
E01000877,0,NA,NA,NA,NA,NA,imputed,Very High
E01000878,0,NA,NA,NA,NA,NA,imputed,Very High
E01000879,0,NA,NA,NA,NA,NA,imputed,Very High
E01000880,0,NA,NA,NA,NA,NA,imputed,Very High
E01000881,0,NA,NA,NA,NA,NA,imputed,Very High
E01000882,0,NA,NA,NA,NA,NA,imputed,Very High
E01000883,0,NA,NA,NA,NA,NA,imputed,Very High
E01000884,0,NA,NA,NA,NA,NA,imputed,Very High
E01000885,0,NA,NA,NA,NA,NA,imputed,Very High
E01000886,0,NA,NA,NA,NA,NA,imputed,Very High
E01000887,0,NA,NA,NA,NA,NA,imputed,Very High
E01000888,0,NA,NA,NA,NA,NA,imputed,Very High
E01000889,0,NA,NA,NA,NA,NA,imputed,Very High
E01000890,0,NA,NA,NA,NA,NA,imputed,Very High
E01000891,0,NA,NA,NA,NA,NA,imputed,Very High
E01000892,0,NA,NA,NA,NA,NA,imputed,Very High
E01000893,0,NA,NA,NA,NA,NA,imputed,Very High
E01000894,0,NA,NA,NA,NA,NA,imputed,Very High
E01000895,0,NA,NA,NA,NA,NA,imputed,Very High
E01000896,0,NA,NA,NA,NA,NA,imputed,Very High
E01000897,0,NA,NA,NA,NA,NA,imputed,Very High
E01000898,0,NA,NA,NA,NA,NA,imputed,Very High
E01000899,0,NA,NA,NA,NA,NA,imputed,Very High
E01000900,0,NA,NA,NA,NA,NA,imputed,Very High
E01000901,0,NA,NA,NA,NA,NA,imputed,Very High
E01000902,0,NA,NA,NA,NA,NA,imputed,Very High
E01000903,0,NA,NA,NA,NA,NA,imputed,Very High
E01000904,0,NA,NA,NA,NA,NA,imputed,Very High
E01000905,0,NA,NA,NA,NA,NA,imputed,Very High
E01000906,0,NA,NA,NA,NA,NA,imputed,Very High
E01000907,0,NA,NA,NA,NA,NA,imputed,Very High
