lsoa_code,population_density
E01000907,13834
E01000908,8702.9
E01000909,6776
E01000912,1771.2
E01000913,991.3
E01000893,2608.9
E01000894,5727.8
E01000895,15820.6
E01000896,9516.9
E01000899,1441.2
E01000910,10291.9
E01000911,16322.4
E01000921,15072.3
E01000923,16943.8
E01000928,6784.2
E01000878,8922.4
E01000879,7332.2
E01000880,6931.8
E01000884,6001.6
E01000885,4205
E01000871,5411.5
E01000872,11836.7
E01000873,12967.2
E01000874,17309.9
E01000877,13194.6
E01000886,12887.6
E01000887,13903.9
E01000888,15671.6
E01000892,14596.6
E01000903,13846.9
E01000889,15089.5
E01000890,17260.8
E01000891,19136.6
E01000901,18629.5
E01000922,10047.1
E01000927,15258.4
E01000881,9384.3
E01000882,11911.4
E01000883,10733.1
E01000897,7878.8
E01000898,9302.1
E01000866,13402.1
E01000870,12636.1
E01000924,15961.3
E01000925,18055.6
E01000926,15896.3
E01000969,10971.2
E01000970,20465.1
E01000971,16475.7
E01000972,13982.9
E01000973,10883.6
E01000842,13625.1
E01000844,14354.7
E01000848,14717.5
E01000849,17529
E01000900,17005
E01000902,16813.3
E01000904,17716.7
E01000905,21765.4
E01000906,10501.5
E01000875,13407.3
E01000876,16472.6
E01000931,13997.3
E01000932,26626.3
E01000974,13850.2
E01000843,14357.7
E01000845,12711.9
E01000846,17569.5
E01000847,16200.6
E01000867,21458.6
E01000868,20835.3
E01000869,16995.6
E01000962,16106.5
E01000964,13708.4
E01000965,15990.7
E01000966,12442.2
E01000968,18046.7
E01000960,16449.3
E01000961,14974.9
E01000963,9963.7
E01000967,4136
E01000857,17130.5
E01000858,8870.5
E01000859,15103.3
E01000860,5441.7
E01000862,9911.8
E01000856,13403.5
E01000861,11982.5
E01000957,11311.1
E01000958,12147
E01000959,23101.1
E01000929,19600.8
E01000930,17943.2
E01000933,16256.9
E01000934,17370.8
E01000935,25732.7
E01000863,9150.7
E01000946,3169.2
E01000947,10679.5
E01000948,7778.3
E01000952,19436.8
E01000954,31549.5
E01000955,21079.8
E01000956,9477.3
E01000944,25111.5
E01000949,25723.5
E01000951,31929.5
E01000850,7300.2
E01000851,11078.7
E01000915,20647.8
E01000916,12586.6
E01000917,22010.7
E01000920,11986.7
E01000855,4086.1
E01000914,3166.7
E01000918,10647.7
E01000919,9424.1
E01000853,24017.1
E01000937,8909.2
