lsoa_code,borough,imd_score,imd_quintile,lsoa_name,ptal_score,ptal_category,ptal_original,accessibility_index,ai_median,ai_min,ai_max,data_source,ptal_score_z,ai_z
E01000865,Camden,13.236,Q1_Least,NA,4.768421052631579,Very Good,NA,27.016867417076423,26.784864533522633,NA,NA,imputed,0.49694126630312274,0.5217473962792468
E01000871,Camden,14.237,Q1_Least,Camden 005A,2,Poor,2,8.19961908452,8.08389070692,2.68286477977,15.7099718815,measured,-1.2874476166464521,-0.8754453136260553
E01000873,Camden,8.615,Q1_Least,Camden 005C,2,Poor,2,8.40938233873,7.92112946748,3.01748764567,15.1808415159,measured,-1.2874476166464521,-0.8598702579957825
E01000874,Camden,4.907,Q1_Least,Camden 005D,5,Very Good,5,22.5183128349,23.5948613831,8.18100569995,26.220326332,measured,0.6462057355992847,0.1877268446955451
E01000877,Camden,11.158,Q1_Least,Camden 005E,3,Moderate,3,13.5383508726,10.3831806787,8.6057804153,21.819093803,measured,-0.6428964992312065,-0.47904106776511446
E01000878,Camden,5.647,Q1_Least,Camden 004A,3,Moderate,3,10.0818507832,7.98314892471,3.84522331886,23.2572994355,measured,-0.6428964992312065,-0.7356884075539606
E01000879,Camden,5.877,Q1_Least,Camden 004B,5,Very Good,5,21.3163390161,20.0134701883,11.7592907735,31.2057928189,measured,0.6462057355992847,0.09847952078055873
E01000880,Camden,6.105,Q1_Least,Camden 004C,4,Good,4,19.4523854441,15.7547889602,3.83623915963,38.4542172699,measured,0.0016546181840391264,-0.03992022270874553
E01000881,Camden,13.429,Q1_Least,Camden 008A,6,Excellent,6a,31.3414084369,32.2052064758,23.9578128036,38.4098239247,measured,1.2907568530145304,0.8428473296914067
E01000883,Camden,9.536,Q1_Least,Camden 008C,6,Excellent,6a,34.8611035723,34.8758233297,27.8565990046,40.2584940432,measured,1.2907568530145304,1.1041869420172832
E01000895,Camden,8.367,Q1_Least,Camden 002C,3,Moderate,3,14.2393256274,14.2195943574,10.6021724685,16.7432492234,measured,-0.6428964992312065,-0.4269932444104253
E01000896,Camden,5.734,Q1_Least,Camden 002D,4,Good,4,16.2986927245,16.6789405834,12.2952833344,21.1103636374,measured,0.0016546181840391264,-0.2740839218444482
E01000912,Camden,22.316,Q3,Camden 001D,2,Poor,2,6.57074487295,4.72489475073,0,23.1903042754,measured,-1.2874476166464521,-0.9963902644253078
E01000915,Camden,23.058,Q3,Camden 027A,6.5,Excellent,6b,42.1473546686,41.5296596501,37.5718196317,47.8845216287,measured,1.6130324117221533,1.6451957406670072
E01000919,Camden,21.741,Q3,Camden 028D,6.5,Excellent,6b,78.3685527574,78.2434566712,69.3358231649,86.6080390977,measured,1.6130324117221533,4.334642838314565
E01000922,Camden,21.717,Q3,Camden 007E,5,Very Good,5,22.7197522013,22.8499060164,6.60162474955,28.094208493,measured,0.6462057355992847,0.20268384633829195
E01000929,Camden,25.374,Q3,Camden 020A,5,Very Good,5,20.6628453943,20.512433962,19.1068054674,23.2916873578,measured,0.6462057355992847,0.049957201883971805
E01000930,Camden,30.755,Q4,Camden 020B,5,Very Good,5,23.538499055,23.583660528,19.7018957644,27.767309255,measured,0.6462057355992847,0.2634763232738466
