lsoa_code,road_density,street_density_km_per_sqkm,edge_density_km_per_sqkm,n_nodes,n_edges,total_edge_length,avg_street_length,circuity_avg,status
E01000842,0.0039031631447535146,1951.581572376757,3903.163144753514,4,8,404.75272772385165,50.594090965481456,1.0000000009697707,success
E01000843,0.010036954131247833,5018.477065623915,10036.954131247832,3,6,848.4086167866263,141.40143613110436,1.0089858087541093,success
E01000844,0.0102623940434422,5131.1970217211,10262.3940434422,7,12,1177.5717488953055,98.13097907460879,1.0017082891619322,success
E01000845,0.019497862167567447,9748.931083783726,19497.862167567448,18,38,2309.0325660257536,60.76401489541458,1.0366097631611784,success
E01000846,0.026036911903222933,13018.455951611468,26036.911903222936,18,40,2136.6659479513187,53.416648698782964,1.0001322771856762,success
E01000847,0.025657350310311185,12828.675155155588,25657.350310311187,16,36,2535.6825401180336,70.43562611438979,1.2023743051216256,success
E01000848,0.011180517583176657,5590.258791588328,11180.517583176657,6,10,1114.9655973882561,111.4965597388256,1.0165472394809116,success
E01000849,0.021173903777933854,10586.95188896693,21173.903777933858,8,16,1672.8438724166883,104.55274202604305,1.0002169796929443,success
E01000850,0.020662678525145476,15047.67427578067,20662.67852514548,28,48,4042.6811752886815,86.59111623224668,1.053376392199934,success
E01000851,0.030365151665579758,21877.395432221583,30365.151665579753,40,66,4116.309327709364,61.785551545123326,1.0706993925617183,success
E01000852,0.02044553602006902,13445.121111100441,20445.536020069023,19,31,2542.0467838456198,79.60318818631352,1.001530790683812,success
E01000853,0.009241446113934099,7925.113332105685,9241.446113934098,7,7,540.1699886975314,77.20487908949482,1.0006905741827912,success
E01000854,0.012337046959560555,8395.806982050988,12337.046959560555,20,32,2352.154592572233,66.69693058069235,1.0026462167147248,success
E01000855,0.005952684471773138,4042.171351608927,5952.684471773137,17,28,1915.2215861032157,72.25175151404709,1.000689071757037,success
E01000856,0.005648197851173593,3885.022659733104,5648.197851173593,7,12,677.2990353501519,58.233665168173324,1.0104090078869739,success
E01000857,0.031711563290138536,16021.402146982211,31711.563290138532,11,23,2396.687029586633,100.90506095559512,1.021597029972264,success
E01000858,0.008513018363130858,4906.452845932786,8513.018363130857,18,33,1864.8774975660897,56.56929506112118,1.0158102345834796,success
E01000859,0.02972731422155784,14863.657110778928,29727.31422155784,22,44,2831.3009193720154,64.34774816754583,1.0331819884494755,success
E01000860,0.006251402309724682,3259.065130932584,6251.402309724683,9,16,1310.3934553213928,75.90577115432485,1.0078899562999104,success
E01000861,0.015260582162567584,9825.343126514712,15260.582162567585,17,24,1717.6760431863026,61.43917536010675,1.045357545073134,success
E01000862,0.009987205656420455,5480.896453958982,9987.205656420456,13,22,1694.2492172790392,61.98600387044726,1.0102801869224547,success
E01000863,0.010004528307137163,8042.596334624752,10004.528307137163,20,24,1633.4399451742906,69.1113259315231,1.0041214014194164,success
E01000864,0.028927465033251092,14463.73251662555,28927.465033251094,7,18,2876.4203687656527,159.80113159809187,1.2683003996183657,success
E01000865,0.018270311983252883,9749.983506644941,18270.31198325288,11,23,1980.8330608320316,88.08958165863235,1.077584980620735,success
E01000866,0.006565181404047087,4401.594509739586,6565.181404047087,12,18,930.1863799746719,44.5456439178527,1.0077419387027033,success
E01000867,0.02461737222711088,16256.630564403522,24617.372227110878,15,27,1984.0970235643683,77.07310014878014,1.001166402960066,success
E01000868,0.0022375654145820965,1118.7827072910482,2237.5654145820963,2,2,185.8328606426412,92.9164303213206,1.0005312383913136,success
E01000869,0.019806593613662642,13118.289901160488,19806.593613662644,19,32,2260.293974135409,71.28744765485561,1.0042607973768294,success
E01000870,0.018080909047855212,9094.688269407769,18080.90904785521,12,21,2309.107255607839,105.58907295684645,1.0126814384099272,success
E01000871,0.008814517617337137,4407.258808668568,8814.517617337136,8,20,2666.625661903729,133.33128309518645,1.0797708164340318,success
E01000872,0.014342632354853117,7171.316177426557,14342.632354853118,12,24,2172.9310357320687,90.53879315550284,1.000058611932614,success
E01000873,0.020467197459721226,10233.598729860614,20467.19745972123,12,24,2542.1605939562996,105.92335808151249,1.1417640136536544,success
E01000874,0.018040572851604795,9235.885893442448,18040.572851604797,11,19,1549.734647819536,79.33879090265268,1.0068788486865619,success
E01000875,0.023064534531539442,11532.267265769724,23064.53453153944,9,20,2665.165358445663,133.2582679222832,1.0334432373744264,success
E01000876,0.0053890812348166795,4471.996469297204,5389.08123481668,4,6,632.8269515069277,131.28396889490207,1.323323363948583,success
E01000877,0.02414919468805802,13496.824559771287,24149.194688058018,17,32,2714.02016187971,84.26932484991514,1.001605947384217,success
E01000878,0.012052082226850601,6977.088941800482,12052.082226850602,12,23,2257.0857978953186,100.51176261352344,1.0968708173746957,success
E01000879,0.005624221782187017,2812.1108910935086,5624.221782187017,6,10,1011.3125698169486,101.13125698169486,1.0011745274748904,success
E01000880,0.013262820856161633,6850.872148132491,13262.820856161632,14,27,2673.934660207467,92.08088630220733,1.0559751878083088,success
E01000881,0.0066441196700212195,3797.1189775923062,6644.1196700212195,10,16,977.381573278662,55.857424377691565,1.013401111745739,success
E01000882,0.02128646138543956,10643.230692719779,21286.46138543956,12,24,2558.272697792636,106.59469574135981,1.0364863132693405,success
E01000883,0.001989105910175977,1989.1059101759768,1989.1059101759768,3,2,278.10656620393996,139.05328310196998,1.000254193834242,success
E01000884,0.010501041825749534,5250.5209128747665,10501.041825749535,9,20,2582.648683046014,129.13243415230068,1.0447013075287073,success
