lsoa_code,road_density_km_per_sqkm,road_density,street_density_km_per_sqkm,edge_density_km_per_sqkm,n_nodes,n_edges,total_edge_length,avg_street_length,circuity_avg,status
E01000842,3.9031631447535,0.0039031631447535,1951.581572376757,3903.163144753514,4.0,8.0,404.7527277238517,50.594090965481456,1.0000000009697707,success
E01000843,10.0369541312478,0.0100369541312478,5018.477065623915,10036.954131247832,3.0,6.0,848.4086167866263,141.40143613110436,1.0089858087541093,success
E01000844,10.262394043442201,0.0102623940434422,5131.1970217211,10262.3940434422,7.0,12.0,1177.5717488953055,98.1309790746088,1.0017082891619322,success
E01000845,19.497862167567398,0.0194978621675674,9748.931083783726,19497.862167567448,18.0,38.0,2309.0325660257536,60.76401489541458,1.0366097631611784,success
E01000846,26.036911903222897,0.0260369119032229,13018.455951611468,26036.911903222936,18.0,40.0,2136.6659479513187,53.41664869878296,1.0001322771856762,success
E01000847,25.6573503103111,0.0256573503103111,12828.675155155588,25657.350310311187,16.0,36.0,2535.6825401180336,70.43562611438979,1.2023743051216256,success
E01000848,11.1805175831766,0.0111805175831766,5590.258791588328,11180.517583176656,6.0,10.0,1114.965597388256,111.4965597388256,1.0165472394809116,success
E01000849,21.173903777933802,0.0211739037779338,10586.95188896693,21173.903777933858,8.0,16.0,1672.8438724166883,104.55274202604303,1.0002169796929443,success
E01000850,20.6626785251454,0.0206626785251454,15047.67427578067,20662.67852514548,28.0,48.0,4042.6811752886815,86.59111623224668,1.053376392199934,success
E01000851,30.3651516655797,0.0303651516655797,21877.395432221583,30365.151665579757,40.0,66.0,4116.309327709364,61.785551545123326,1.0706993925617183,success
E01000852,20.445536020069,0.020445536020069,13445.12111110044,20445.536020069023,19.0,31.0,2542.04678384562,79.60318818631352,1.001530790683812,success
E01000853,9.241446113934,0.009241446113934,7925.113332105685,9241.446113934098,7.0,7.0,540.1699886975314,77.20487908949482,1.0006905741827912,success
E01000854,12.3370469595605,0.0123370469595605,8395.806982050988,12337.046959560555,20.0,32.0,2352.154592572233,66.69693058069235,1.0026462167147248,success
E01000855,5.9526844717731,0.0059526844717731,4042.171351608927,5952.684471773137,17.0,28.0,1915.221586103216,72.25175151404709,1.000689071757037,success
E01000856,5.6481978511735,0.0056481978511735,3885.022659733104,5648.197851173593,7.0,12.0,677.2990353501519,58.23366516817333,1.010409007886974,success
E01000857,31.711563290138503,0.0317115632901385,16021.402146982213,31711.56329013853,11.0,23.0,2396.687029586633,100.90506095559512,1.021597029972264,success
E01000858,8.5130183631308,0.0085130183631308,4906.452845932786,8513.018363130857,18.0,33.0,1864.8774975660897,56.56929506112118,1.0158102345834796,success
E01000859,29.7273142215578,0.0297273142215578,14863.657110778928,29727.31422155784,22.0,44.0,2831.3009193720154,64.34774816754583,1.0331819884494755,success
E01000860,6.251402309724599,0.0062514023097246,3259.065130932584,6251.402309724683,9.0,16.0,1310.3934553213928,75.90577115432485,1.0078899562999104,success
E01000861,15.2605821625675,0.0152605821625675,9825.343126514712,15260.582162567584,17.0,24.0,1717.6760431863026,61.43917536010675,1.045357545073134,success
E01000862,9.9872056564204,0.0099872056564204,5480.896453958982,9987.205656420456,13.0,22.0,1694.2492172790392,61.98600387044726,1.0102801869224547,success
E01000863,10.0045283071371,0.0100045283071371,8042.596334624752,10004.528307137163,20.0,24.0,1633.4399451742906,69.1113259315231,1.0041214014194164,success
E01000864,28.927465033251,0.028927465033251,14463.73251662555,28927.465033251094,7.0,18.0,2876.4203687656527,159.80113159809187,1.2683003996183655,success
E01000865,18.2703119832528,0.0182703119832528,9749.98350664494,18270.31198325288,11.0,23.0,1980.833060832032,88.08958165863235,1.077584980620735,success
E01000866,6.565181404046999,0.006565181404047,4401.594509739586,6565.181404047087,12.0,18.0,930.186379974672,44.5456439178527,1.0077419387027031,success
E01000867,24.6173722271108,0.0246173722271108,16256.630564403522,24617.37222711088,15.0,27.0,1984.0970235643683,77.07310014878014,1.001166402960066,success
E01000868,2.2375654145820003,0.002237565414582,1118.7827072910482,2237.5654145820963,2.0,2.0,185.8328606426412,92.9164303213206,1.0005312383913136,success
E01000869,19.8065936136626,0.0198065936136626,13118.289901160488,19806.593613662644,19.0,32.0,2260.293974135409,71.28744765485561,1.0042607973768294,success
E01000870,18.0809090478552,0.0180809090478552,9094.688269407769,18080.90904785521,12.0,21.0,2309.107255607839,105.58907295684644,1.0126814384099272,success
E01000871,8.814517617337101,0.0088145176173371,4407.258808668568,8814.517617337136,8.0,20.0,2666.625661903729,133.33128309518645,1.0797708164340318,success
E01000872,14.3426323548531,0.0143426323548531,7171.316177426557,14342.632354853118,12.0,24.0,2172.9310357320687,90.53879315550284,1.000058611932614,success
E01000873,20.467197459721202,0.0204671974597212,10233.598729860614,20467.19745972123,12.0,24.0,2542.1605939563,105.92335808151248,1.1417640136536544,success
E01000874,18.0405728516047,0.0180405728516047,9235.885893442448,18040.5728516048,11.0,19.0,1549.734647819536,79.33879090265268,1.006878848686562,success
E01000875,23.0645345315394,0.0230645345315394,11532.267265769724,23064.53453153944,9.0,20.0,2665.165358445663,133.2582679222832,1.0334432373744264,success
E01000876,5.3890812348166,0.0053890812348166,4471.996469297204,5389.08123481668,4.0,6.0,632.8269515069277,131.28396889490207,1.323323363948583,success
E01000877,24.149194688058,0.024149194688058,13496.824559771288,24149.194688058014,17.0,32.0,2714.02016187971,84.26932484991514,1.001605947384217,success
E01000878,12.0520822268506,0.0120520822268506,6977.088941800482,12052.082226850602,12.0,23.0,2257.0857978953186,100.51176261352344,1.0968708173746955,success
E01000879,5.624221782187,0.005624221782187,2812.1108910935086,5624.221782187017,6.0,10.0,1011.3125698169486,101.13125698169486,1.0011745274748904,success
E01000880,13.2628208561616,0.0132628208561616,6850.872148132491,13262.820856161632,14.0,27.0,2673.934660207467,92.08088630220732,1.0559751878083088,success
E01000881,6.6441196700212,0.0066441196700212,3797.118977592306,6644.11967002122,10.0,16.0,977.381573278662,55.857424377691565,1.013401111745739,success
E01000882,21.286461385439498,0.0212864613854395,10643.23069271978,21286.46138543956,12.0,24.0,2558.272697792636,106.5946957413598,1.0364863132693405,success
E01000883,1.9891059101759,0.0019891059101759,1989.1059101759768,1989.1059101759768,3.0,2.0,278.10656620394,139.05328310196998,1.000254193834242,success
E01000884,10.5010418257495,0.0105010418257495,5250.520912874767,10501.041825749537,9.0,20.0,2582.648683046014,129.13243415230068,1.0447013075287073,success
E01000885,19.845929705664602,0.0198459297056646,9922.964852832343,19845.929705664683,29.0,56.0,6159.369819044038,109.98874676864357,1.091043606963766,success
E01000886,22.823251297678702,0.0228232512976787,11488.355261761018,22823.251297678788,11.0,23.0,2277.7298714320304,95.5435373486779,1.0100744503408112,success
E01000887,24.6551389433326,0.0246551389433326,15484.855668312211,24655.13894333264,16.0,30.0,2411.028069694513,75.71326561427689,1.015365330501414,success
E01000888,6.4459840707117,0.0064459840707117,4499.092309747511,6445.984070711776,10.0,16.0,608.4264873159237,35.38853157900501,1.0090157229833543,success
E01000889,17.5056314413186,0.0175056314413186,9510.56554618018,17505.631441318634,14.0,27.0,1997.9944742115936,77.53446765970614,1.2083332281783967,success
E01000890,13.346338819622101,0.0133463388196221,6673.16940981109,13346.338819622182,6.0,10.0,1009.333778570674,100.93337785706738,1.201205108488753,success
E01000891,9.4069862100752,0.0094069862100752,4703.493105037644,9406.986210075289,5.0,8.0,739.0228632717038,92.37785790896298,1.004896838628724,success
E01000892,15.8321970010659,0.0158321970010659,8034.248979172895,15832.197001065972,9.0,17.0,1924.5428627898325,97.66336617528589,1.033959385491679,success
E01000893,6.0918956153267,0.0060918956153267,3045.94780766338,6091.895615326758,10.0,22.0,3257.3895546706112,148.06316157593693,1.4066346682480606,success
E01000894,12.8242328861002,0.0128242328861002,7010.361502669324,12824.232886100275,18.0,36.0,2862.9464343103696,78.25142308920204,1.0155540534336225,success
E01000895,17.5692542861538,0.0175692542861538,9947.392164264478,17569.254286153886,17.0,30.0,1675.9164016903983,59.30458619149959,1.0656771528095188,success
E01000896,17.1055447128727,0.0171055447128727,9377.97810845376,17105.544712872706,13.0,24.0,2502.5205547229,105.53745256326486,1.0583202896720103,success
E01000897,19.2143798305639,0.0192143798305639,9607.189915281971,19214.379830563947,16.0,32.0,3836.000480572981,119.87501501790564,1.152202205729936,success
E01000898,4.2983512474355,0.0042983512474355,2149.175623717798,4298.3512474355975,7.0,14.0,741.6702791188665,52.97644850849044,1.007554747949326,success
E01000899,9.705163234943699,0.0097051632349437,5391.596563291828,9705.16323494374,59.0,138.0,10492.8793224637,75.703942357087,1.064033161439639,success
E01000900,16.838059544322398,0.0168380595443224,8419.02977216124,16838.05954432248,12.0,24.0,1707.97260386918,71.16552516121583,1.1502008018411067,success
E01000901,7.1029143312553,0.0071029143312553,3551.457165627685,7102.914331255369,5.0,8.0,755.8250719986337,94.47813399982924,1.0154003778308849,success
E01000902,10.4643270721712,0.0104643270721712,5232.163536085639,10464.327072171276,3.0,4.0,843.294876006499,210.8237190016248,1.0149581718340643,success
