borough,n_lsoas,mean_gvi,median_gvi,sd_gvi,min_gvi,max_gvi
Lambeth,178,21.863869759223967,21.863869759223967,NA,21.863869759223967,21.863869759223967
Lewisham,169,19.511260252237737,19.511260252237737,NA,19.511260252237737,19.511260252237737
Wandsworth,179,17.815423759460895,17.815423759460895,NA,17.815423759460895,17.815423759460895
Camden,133,17.751713490729735,17.751713490729735,NA,17.751713490729735,17.751713490729735
Southwark,166,17.687145553896013,17.687145553896013,NA,17.687145553896013,17.687145553896013
Islington,123,15.854590374743303,15.854590374743303,NA,15.854590374743303,15.854590374743303
Hackney,144,15.781559349206864,15.781559349206864,NA,15.781559349206864,15.781559349206864
Greenwich,151,15.596816207356149,15.596816207356149,NA,15.596816207356149,15.596816207356149
Westminster,128,15.226881052512034,15.226881052512034,NA,15.226881052512034,15.226881052512034
Hammersmith and Fulham,113,12.913719073903165,12.913719073903165,NA,12.913719073903165,12.913719073903165
Kensington and Chelsea,103,12.881569170407557,12.881569170407557,NA,12.881569170407557,12.881569170407557
Tower Hamlets,144,12.003981226390511,12.003981226390511,NA,12.003981226390511,12.003981226390511
