lsoa_code,image_id,gvi,method,model,vegetation_pixels,total_pixels,timestamp
E01000882,692914563535787,16.44144058227539,deeplearning,segformer,344802,2097152,2025-08-02T00:17:47.398262
E01000882,1234746101516611,23.36592674255371,deeplearning,segformer,490019,2097152,2025-08-02T00:17:48.826079
E01000882,2143762416103029,19.391489028930664,deeplearning,segformer,406669,2097152,2025-08-02T00:17:50.058611
E01000882,744131484848329,7.224750518798828,deeplearning,segformer,151514,2097152,2025-08-02T00:17:51.289515
E01000882,705211072115557,36.168575286865234,deeplearning,segformer,758510,2097152,2025-08-02T00:17:52.602903
E01000882,2177575019331915,7.112789154052734,deeplearning,segformer,149166,2097152,2025-08-02T00:17:53.836675
E01000882,1085528890130543,20.031166076660156,deeplearning,segformer,420084,2097152,2025-08-02T00:17:54.891167
E01000882,9830427623722563,10.036468505859375,deeplearning,segformer,210480,2097152,2025-08-02T00:17:55.943982
E01000882,1736670643875705,25.72345733642578,deeplearning,segformer,539460,2097152,2025-08-02T00:17:57.003544
E01000882,1073129784736152,11.289358139038086,deeplearning,segformer,236755,2097152,2025-08-02T00:17:58.051577
E01000882,1040862054375702,21.97260856628418,deeplearning,segformer,460799,2097152,2025-08-02T00:17:59.111525
E01000882,1220904396200372,15.059328079223633,deeplearning,segformer,315817,2097152,2025-08-02T00:18:00.167105
E01000882,1175849257674493,17.34333038330078,deeplearning,segformer,363716,2097152,2025-08-02T00:18:01.221933
E01000882,1043992864506980,1.7057418823242188,deeplearning,segformer,35772,2097152,2025-08-02T00:18:02.281411
E01000882,777056038218888,35.67652702331543,deeplearning,segformer,748191,2097152,2025-08-02T00:18:03.345962
E01000882,698382376498312,7.023715972900391,deeplearning,segformer,147298,2097152,2025-08-02T00:18:04.412096
E01000882,1212511833952298,12.63728141784668,deeplearning,segformer,265023,2097152,2025-08-02T00:18:05.469129
E01000882,1935241400596243,17.198848724365234,deeplearning,segformer,360686,2097152,2025-08-02T00:18:06.529268
E01000882,690735727110929,3.279542922973633,deeplearning,segformer,68777,2097152,2025-08-02T00:18:07.587921
E01000882,1090542322995774,8.461904525756836,deeplearning,segformer,177459,2097152,2025-08-02T00:18:08.652628
E01000882,1226392459180424,15.53044319152832,deeplearning,segformer,325697,2097152,2025-08-02T00:18:09.711611
E01000882,1244949490641809,9.080219268798828,deeplearning,segformer,190426,2097152,2025-08-02T00:18:10.769357
E01000882,1432332757791133,5.993986129760742,deeplearning,segformer,125703,2097152,2025-08-02T00:18:11.821446
E01000882,24287922210800295,5.526876449584961,deeplearning,segformer,115907,2097152,2025-08-02T00:18:12.878703
E01000882,2726436964233243,10.255575180053711,deeplearning,segformer,215075,2097152,2025-08-02T00:18:13.937801
E01000882,1455208285659826,0.9900569915771484,deeplearning,segformer,20763,2097152,2025-08-02T00:18:15.000984
E01000882,3316407175188251,28.60260009765625,deeplearning,segformer,599840,2097152,2025-08-02T00:18:16.064143
E01000882,1374016470494884,11.609506607055664,deeplearning,segformer,243469,2097152,2025-08-02T00:18:17.124924
E01000882,4112492622410190,8.834695816040039,deeplearning,segformer,185277,2097152,2025-08-02T00:18:18.187606
E01000882,3029244847232434,18.728113174438477,deeplearning,segformer,392757,2097152,2025-08-02T00:18:19.249731
E01000882,1414049903354295,14.643669128417969,deeplearning,segformer,307100,2097152,2025-08-02T00:18:20.311159
E01000882,335754274548665,26.32881800333659,deeplearning,segformer,828233,3145728,2025-08-02T00:18:21.674085
E01000882,491407320696512,9.655427932739258,deeplearning,segformer,202489,2097152,2025-08-02T00:18:22.788743
E01000882,742655731527082,11.445903778076172,deeplearning,segformer,240038,2097152,2025-08-02T00:18:23.865210
E01000882,2008888776185549,8.400535583496094,deeplearning,segformer,176172,2097152,2025-08-02T00:18:24.945580
E01000882,1039688954961715,9.011268615722656,deeplearning,segformer,188980,2097152,2025-08-02T00:18:26.022289
E01000882,645569795198224,9.275150299072266,deeplearning,segformer,194514,2097152,2025-08-02T00:18:27.103142
E01000882,3974889159440834,9.222269058227539,deeplearning,segformer,193405,2097152,2025-08-02T00:18:28.169684
E01000882,10057204191000904,1.8293380737304688,deeplearning,segformer,38364,2097152,2025-08-02T00:18:29.229720
E01000882,1223597215807455,10.961675643920898,deeplearning,segformer,229883,2097152,2025-08-02T00:18:30.300028
E01000882,1115528553743213,13.913917541503906,deeplearning,segformer,291796,2097152,2025-08-02T00:18:31.366948
E01000882,4607456765937262,14.838854471842447,deeplearning,segformer,466790,3145728,2025-08-02T00:18:32.752760
E01000882,1678577746163007,6.77790641784668,deeplearning,segformer,142143,2097152,2025-08-02T00:18:33.891054
E01000882,133749912066283,22.533798217773438,deeplearning,segformer,708852,3145728,2025-08-02T00:18:35.326725
E01000882,997218872274270,6.454181671142578,deeplearning,segformer,135354,2097152,2025-08-02T00:18:36.477822
E01000882,1217272979646217,20.139265060424805,deeplearning,segformer,422351,2097152,2025-08-02T00:18:37.598116
E01000882,1755603855164281,16.39862060546875,deeplearning,segformer,343904,2097152,2025-08-02T00:18:38.707396
E01000882,1107742116391577,12.821420033772787,deeplearning,segformer,403327,3145728,2025-08-02T00:18:40.178438
E01000882,2173030709842018,27.669048309326172,deeplearning,segformer,580262,2097152,2025-08-02T00:18:41.318549
E01000882,3957773031153614,1.026773452758789,deeplearning,segformer,21533,2097152,2025-08-02T00:18:42.416119
E01000882,1720536155517524,21.322107315063477,deeplearning,segformer,447157,2097152,2025-08-02T00:18:43.493241
E01000882,1385638969730220,11.338949203491211,deeplearning,segformer,237795,2097152,2025-08-02T00:18:44.634405
E01000882,1050220670509973,13.178110122680664,deeplearning,segformer,276365,2097152,2025-08-02T00:18:45.767114
E01000882,1462914754874384,10.801839828491211,deeplearning,segformer,226531,2097152,2025-08-02T00:18:46.847790
E01000882,790846394901991,16.63262049357096,deeplearning,segformer,523217,3145728,2025-08-02T00:18:48.373893
E01000882,1775252410078639,13.491678237915039,deeplearning,segformer,282941,2097152,2025-08-02T00:18:49.454077
E01000882,2134317890369577,6.584739685058594,deeplearning,segformer,138092,2097152,2025-08-02T00:18:50.535835
E01000882,1276430970820110,14.227151870727539,deeplearning,segformer,298365,2097152,2025-08-02T00:18:51.616406
E01000882,3142097492610229,8.607721328735352,deeplearning,segformer,180517,2097152,2025-08-02T00:18:52.686957
E01000882,4251041441884834,24.814796447753906,deeplearning,segformer,520404,2097152,2025-08-02T00:18:53.771768
E01000882,1019076123322660,9.394073486328125,deeplearning,segformer,197008,2097152,2025-08-02T00:18:54.847729
E01000882,665212476553814,20.187854766845703,deeplearning,segformer,423370,2097152,2025-08-02T00:18:55.927616
E01000882,738271702102277,17.729949951171875,deeplearning,segformer,371824,2097152,2025-08-02T00:18:57.022884
E01000882,2195790357540395,13.25082778930664,deeplearning,segformer,277890,2097152,2025-08-02T00:18:58.090220
E01000882,672506145783413,7.881259918212891,deeplearning,segformer,165282,2097152,2025-08-02T00:18:59.156840
E01000882,1865046134071275,16.228818893432617,deeplearning,segformer,340343,2097152,2025-08-02T00:19:00.225691
E01000882,2191118531332556,8.710670471191406,deeplearning,segformer,182676,2097152,2025-08-02T00:19:01.291990
E01000882,568120459454310,6.112337112426758,deeplearning,segformer,128185,2097152,2025-08-02T00:19:02.360458
E01000882,750337834399348,27.81057357788086,deeplearning,segformer,583230,2097152,2025-08-02T00:19:03.437524
E01000882,1440572440468083,15.177345275878906,deeplearning,segformer,318292,2097152,2025-08-02T00:19:04.515299
E01000882,986960330181361,8.101224899291992,deeplearning,segformer,169895,2097152,2025-08-02T00:19:05.585770
E01000882,1408533797138075,1.067209243774414,deeplearning,segformer,22381,2097152,2025-08-02T00:19:06.659993
E01000882,1207764840670050,6.858205795288086,deeplearning,segformer,143827,2097152,2025-08-02T00:19:07.728707
E01000882,494769071652643,16.263135274251304,deeplearning,segformer,511594,3145728,2025-08-02T00:19:09.048684
E01000882,1377970553432365,5.562448501586914,deeplearning,segformer,116653,2097152,2025-08-02T00:19:10.113515
E01000882,1209134150895419,10.104131698608398,deeplearning,segformer,211899,2097152,2025-08-02T00:19:11.198506
E01000882,1659096344791378,10.541582107543945,deeplearning,segformer,221073,2097152,2025-08-02T00:19:12.301228
E01000882,905155763547450,19.16602452596029,deeplearning,segformer,602911,3145728,2025-08-02T00:19:13.628854
E01000882,1040028107803163,14.343070983886719,deeplearning,segformer,300796,2097152,2025-08-02T00:19:14.689640
E01000882,489060422439586,13.075701395670572,deeplearning,segformer,411326,3145728,2025-08-02T00:19:16.043639
E01000882,1202100424930928,14.095163345336914,deeplearning,segformer,295597,2097152,2025-08-02T00:19:17.128996
E01000882,1051051946571745,10.364627838134766,deeplearning,segformer,217362,2097152,2025-08-02T00:19:18.228984
E01000882,540607829135227,19.602489471435547,deeplearning,segformer,411094,2097152,2025-08-02T00:19:19.330377
E01000882,677128815197119,10.285711288452148,deeplearning,segformer,215707,2097152,2025-08-02T00:19:20.419699
E01000882,693700573294366,16.506290435791016,deeplearning,segformer,346162,2097152,2025-08-02T00:19:21.505457
E01000882,1202839526836332,19.955031077067055,deeplearning,segformer,627731,3145728,2025-08-02T00:19:22.854423
E01000882,1877792196289250,3.5620689392089844,deeplearning,segformer,74702,2097152,2025-08-02T00:19:23.925226
E01000882,1995610661183304,12.560892105102539,deeplearning,segformer,263421,2097152,2025-08-02T00:19:25.022534
E01000882,727767506410351,11.216592788696289,deeplearning,segformer,235229,2097152,2025-08-02T00:19:26.120748
E01000882,1917396142408553,13.864326477050781,deeplearning,segformer,290756,2097152,2025-08-02T00:19:27.219430
E01000882,1505145780458159,12.087106704711914,deeplearning,segformer,253485,2097152,2025-08-02T00:19:28.319987
E01000882,4137115173277836,15.196561813354492,deeplearning,segformer,318695,2097152,2025-08-02T00:19:29.421502
E01000882,1054822322806926,22.21975326538086,deeplearning,segformer,465982,2097152,2025-08-02T00:19:30.589185
