lsoa_code,n_images,mean_gvi,median_gvi,sd_gvi,min_gvi,max_gvi,q25_gvi,q75_gvi,n_deeplearning,n_color,pct_deeplearning,selection_id,selection_label,lsoa_name,borough,inner_imd_quintile,deprivation_category,imd_score,imd_rank,la_code,imd_decile,Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs)
E01000882,100,13.51703151067098,12.729350725809734,7.023897315658604,0.9900569915771484,36.168575286865234,8.80368947982788,17.234277725219727,100,0,100,1,LSOA_01,Camden 008B,Camden,1,1_Least Deprived (Inner London),4.319,31192,E09000007,10,0.018,32407,10,0.012,32701,10,1.094,31917,10,-2.291,32757,10,-0.686,26068,8,16.752,20748,7,29.53,9082,3
E01002714,100,12.881843513912624,11.304076512654623,11.069959775147957,0.03194808959960937,56.37515385945638,3.3331950505574546,19.59504286448161,94,6,94,2,LSOA_02,Islington 017D,Islington,1,1_Least Deprived (Inner London),14.035,19913,E09000019,7,0.078,19837,7,0.053,23754,8,5.843,26334,9,-0.536,23872,8,0.261,12539,4,25.392,10753,4,37.528,5154,2
E01004073,100,28.88630020904541,27.05047925313314,12.66696205212973,6.263446807861328,62.72516250610352,20.096667607625328,39.522782961527504,100,0,100,3,LSOA_03,Southwark 031C,Southwark,1,1_Least Deprived (Inner London),8.556,26350,E09000028,9,0.061,23518,8,0.034,29697,10,0.696,32346,10,-0.922,28167,9,-0.147,18841,6,17.929,19223,6,35.61,5967,2
E01004553,100,28.69899366920377,20.825355623975213,27.907577716982377,0.01777013142903646,98.71352513631186,4.75450356801351,42.66042709350586,84,16,84,4,LSOA_04,Wandsworth 015A,Wandsworth,1,1_Least Deprived (Inner London),11.274,23022,E09000032,8,0.064,22879,7,0.04,27826,9,1.727,31187,10,-0.411,22268,7,0.519,8794,3,23.69,12447,4,27.781,10087,4
E01001718,100,10.095750013987223,5.969921747843425,9.997975333873061,0.02768834431966145,39.235877990722656,1.281881332397461,18.150560061136883,92,8,92,5,LSOA_05,Hackney 007D,Hackney,2,2_Less Deprived (Inner London),20.149,14212,E09000012,5,0.072,21074,7,0.038,28432,9,4.731,27637,9,-0.293,20545,7,1.098,2824,1,39.694,2290,1,44.58,2999,1
E01003134,100,46.63836987577839,44.564056396484375,12.735941103605267,17.508729298909508,76.480865478515625,38.20451100667319,53.33682966820987,100,0,100,6,LSOA_06,Lambeth 027D,Lambeth,2,2_Less Deprived (Inner London),19.56,14757,E09000022,5,0.122,13483,5,0.086,15074,5,7.321,24689,8,0.055,15163,5,0.408,10319,4,23.633,12514,4,34.957,6261,2
E01003262,100,35.226305972911696,29.484488781587576,18.55393682243563,3.499190012613932,75.99089940388998,22.519413630167648,43.78270308176677,100,0,100,7,LSOA_07,Lewisham 021E,Lewisham,2,2_Less Deprived (Inner London),19.131,15134,E09000023,5,0.109,15084,5,0.078,16879,6,4.809,27540,9,-0.145,18301,6,0.228,13063,4,31.281,6099,2,39.183,4554,2
E01004519,100,6.020015716552734,6.032800674438477,3.09018421974642,0.8954048156738281,18.62177848815918,3.8843154907226562,7.983815670013428,100,0,100,8,LSOA_08,Wandsworth 036C,Wandsworth,2,2_Less Deprived (Inner London),16.635,17332,E09000032,6,0.116,14140,5,0.064,20385,7,6.404,25714,8,-0.311,20814,7,0.246,12776,4,26.707,9556,3,33.615,6887,3
E01001646,100,19.582526524861652,18.04375648498535,10.460348094318917,2.1976470947265625,68.38397979736328,13.640817006429037,22.606229782104492,100,0,100,9,LSOA_09,Greenwich 019A,Greenwich,3,3_Average (Inner London),25.032,10745,E09000011,4,0.188,7423,3,0.101,12372,4,14.452,17789,6,0.037,15440,5,-0.202,19658,6,42.743,1480,1,16.37,18081,6
E01002794,100,12.082870776173811,9.132220080166046,11.545740390487722,0.01892036815812337,52.24291207374022,3.3436176411252663,15.439001974630038,94,6,94,10,LSOA_10,Islington 020B,Islington,3,3_Average (Inner London),22.216,12607,E09000019,4,0.118,13959,5,0.078,16885,6,7.441,24549,8,0,16023,5,0.824,5174,2,26.061,10124,4,46.461,2562,1
E01003182,100,14.021080706278482,8.984788258870443,12.280055891854348,0.02942708333333333,47.58564631144206,3.8109811147054033,22.16912110646566,96,4,96,11,LSOA_11,Lambeth 009D,Lambeth,3,3_Average (Inner London),26.612,9827,E09000022,3,0.164,9326,3,0.121,9595,3,11.864,20072,7,0.04,15397,5,0.537,8578,3,32.028,5637,2,37.474,5183,2
E01004234,100,29.276024851622406,25.175166377314817,20.701093362418685,0.5249500274658203,92.26790364583334,12.143504619598389,43.81120695891204,100,0,100,12,LSOA_12,Tower Hamlets 003E,Tower Hamlets,3,3_Average (Inner London),24.249,11218,E09000030,4,0.112,14721,5,0.064,20450,7,2.713,30076,10,-0.349,21438,7,1.913,282,1,23.131,13070,4,52.187,1549,1
E01001701,100,18.776863000275256,17.093594868977863,13.20267500663087,1.1442184448242188,74.80005130859021,9.7675323486328125,23.10924530029297,100,0,100,13,LSOA_13,Greenwich 015C,Greenwich,4,4_More Deprived (Inner London),29.43,8286,E09000011,3,0.167,9064,3,0.116,10231,4,14.381,17844,6,0.716,6719,3,0.534,8623,3,41.282,1839,1,22.667,13363,5
