lsoa_code,lsoa_name,borough,imd_score,imd_quintile,n_images,mean_gvi,median_gvi,std_gvi,min_gvi,max_gvi,q25_gvi,q75_gvi,status,data_source,population_density,ptal_score,ptal_category,accessibility_index,road_density_km_per_sqkm,building_density,gvi_z,imd_z,pop_density_z,ptal_z,road_density_z,building_density_z,log_pop_density,log_building_density,pop_density_tertile,pop_density_cat,ptal_cat_simple,building_density_tertile,building_density_cat
E01000865,NA,Camden,13.236,Q1_Least,100,17.86901855,13.0645752,16.626894,0,80.87768555,5.107116699,27.65045166,completed,measured,13925.197580645161,4.768421052631579,Very Good,27.016867417076423,18.2703119832528,31.015809504169354,0.12372816574168014,-1.080787498588352,-0.011292438322910036,0.49694126630312274,0.2760609998501529,0.20572263918993486,9.541527063298238,3.4662298278039785,2,Medium,Good,2,Medium
E01000871,NA,Camden,14.237,Q1_Least,100,18.82501221,15.39611816,16.66194725,0,72.61352539,5.899047852,27.8137207,completed,measured,5411.5,2,Poor,8.19961908452,8.814517617337101,51.3388488,0.21618000296485518,-0.9840981855499423,-1.3325275752462615,-1.2874476166464521,-0.8115761585218727,2.333999075391862,8.596466372310745,3.957738902209751,1,Low,Poor,3,High
E01000873,NA,Camden,8.615,Q1_Least,100,21.36376953,17.48352051,15.41815853,0,70.20874023,11.77062988,25.77056885,completed,measured,12967.2,2,Poor,8.40938233873,20.4671974597212,29.54918283,0.4616970898645567,-1.5271424591782543,-0.1599634537831551,-1.2874476166464521,0.5287541300548169,0.0521340471538901,9.47025548587524,3.419337936651016,2,Medium,Poor,2,Medium
E01000874,NA,Camden,4.907,Q1_Least,100,18.18408203,15.64941406,13.5015831,0,55.15136719,6.994628906,25.61187744,completed,measured,17309.9,5,Very Good,22.5183128349,18.0405728516047,33.96338528,0.15419719371402774,-1.8853082661177387,0.5139773075331799,0.6462057355992847,0.2496356349740633,0.5143997015280938,9.759091639886254,3.554301379051272,3,High,Good,3,High
E01000877,NA,Camden,11.158,Q1_Least,100,18.07922363,14.79492188,13.90262508,0,56.28662109,6.716918945,26.04064941,completed,measured,13194.6,3,Moderate,13.5383508726,24.149194688058,32.74976009,0.14405659118295827,-1.2815071714093471,-0.12467339710796817,-0.6428964992312065,0.9522697912029852,0.3873060194926527,9.487638719673225,3.5189733088488295,2,Medium,Moderate,3,High
E01000878,NA,Camden,5.647,Q1_Least,100,16.22955322,9.353637695,16.45498466,0,67.72460938,2.641296387,26.27258301,completed,measured,8922.4,3,Moderate,10.0818507832,12.0520822268506,26.52932866,-0.034820565451996216,-1.8138296530823508,-0.7876733097189351,-0.6428964992312065,-0.4391806266742323,-0.26411217848302376,9.096432318868063,3.3152519330961905,1,Low,Moderate,2,Medium
E01000879,NA,Camden,5.877,Q1_Least,80,27.67715454,24.22485352,17.49303436,0,88.51318359,17.89398193,35.91918945,completed,measured,7332.2,5,Very Good,21.3163390161,5.624221782187,38.9847461,1.0722493013423535,-1.7916133274091897,-1.0344554034959024,0.6462057355992847,-1.1785346775243892,1.0402484072906244,8.90016726168887,3.688498033882487,1,Low,Good,3,High
E01000880,NA,Camden,6.105,Q1_Least,80,15.84854126,9.375,16.12402534,0,61.35864258,1.943969727,24.1104126,completed,measured,6931.8,4,Good,19.4523854441,13.2628208561616,22.18756591,-0.07166731159673831,-1.7695901871766646,-1.0965932165686592,0.0016546181840391264,-0.299917411828767,-0.7187917772328033,8.844019050985645,3.1436161828433984,1,Low,Moderate,1,Low
E01000881,NA,Camden,13.429,Q1_Least,80,28.60664368,26.11083984,22.75884819,0,85.79711914,4.890441895,48.01635742,completed,measured,9384.3,6,Excellent,31.3414084369,6.6441196700212,27.40276038,1.162137950469994,-1.0621451035669605,-0.7159913520308575,1.2907568530145304,-1.0612226043523965,-0.17264435611411855,9.146899914412748,3.3464863369227618,1,Low,Good,2,Medium
E01000883,NA,Camden,9.536,Q1_Least,80,11.01402283,0.601196289,17.36455345,0,71.47827148,0,16.32080078,completed,measured,10733.1,6,Excellent,34.8611035723,1.9891059101759,31.21286267,-0.5392019089943814,-1.4381805637652918,-0.5066719657358169,1.2907568530145304,-1.5966578879485327,0.22635850981005376,9.28118086888492,3.4723658345879804,1,Low,Good,2,Medium
E01000895,NA,Camden,8.367,Q1_Least,100,22.3963623,22.09777832,16.77402878,0,57.82470703,5.964660645,33.24584961,completed,measured,15820.6,3,Moderate,14.2393256274,17.5692542861538,40.44389597,0.5615566419560083,-1.551097453817141,0.2828538184990725,-0.6428964992312065,0.19542299398614196,1.1930540108228285,9.669131374007815,3.724340608252198,2,Medium,Moderate,3,High
E01000896,NA,Camden,5.734,Q1_Least,100,27.70080566,24.9206543,21.86750221,0.604248047,93.49365234,8.633422852,41.07208252,completed,measured,9516.9,4,Good,16.2986927245,17.1055447128727,29.1373249,1.0745365440175672,-1.8054260864146765,-0.6954132451041654,0.0016546181840391264,0.1420855647785727,0.009003316817619473,9.160929515216953,3.4057644334530823,1,Low,Moderate,2,Medium
